Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,15100,2022-05-12,-0.002874993,0.0266968075,0.0299885094,21,100
Market-Adjusted Model,15101,2022-05-12,0.0148276715,0.0454142755,0.0476911736,21,100
Market-Adjusted Model,15102,2022-05-12,-0.020447305,0.0113421052,0.0124161973,21,100
Market-Adjusted Model,15104,2022-05-12,-0.020581407,0.0089232354,0.0122820949,21,100
Market-Adjusted Model,15108,2022-05-12,-0.23912004,-0.221750219,-0.206256538,21,100
Market-Adjusted Model,15109,2022-05-12,-0.017135905,0.0140320924,0.0157275966,21,100
Market-Adjusted Model,15111,2022-05-12,-0.008009204,0.0244846802,0.0248542976,21,100
Market-Adjusted Model,15113,2022-05-12,-0.11979889,-0.096171767,-0.086935388,21,100
Market-Adjusted Model,15118,2022-05-12,-0.007035212,0.0247977934,0.0258282905,21,100
Market-Adjusted Model,15119,2022-05-12,-0.299970188,-0.302385815,-0.267106686,21,100
Market-Adjusted Model,15121,2022-05-12,-0.166542697,-0.132281888,-0.133679195,21,100
Market-Adjusted Model,15124,2022-05-12,-0.055905342,-0.018993441,-0.02304184,21,100
Market-Adjusted Model,15125,2022-05-12,-0.184290008,-0.144665911,-0.151426506,21,100
Market-Adjusted Model,15127,2022-05-12,-0.065060245,-0.000752733,-0.032196743,21,100
Market-Adjusted Model,15129,2022-05-12,0.1510870094,0.2047087214,0.1839505114,21,100
Market-Adjusted Model,15132,2022-05-12,-0.004504496,0.0710420039,0.0283590061,21,100
Market-Adjusted Model,15133,2022-05-12,0.0897598419,0.1213959687,0.1226233439,21,100
Market-Adjusted Model,15135,2022-05-12,0.2227272813,0.2828264966,0.2555907833,21,100
Market-Adjusted Model,15136,2022-05-12,-0.046428574,-0.014844102,-0.013565072,21,100
Market-Adjusted Model,15139,2022-05-12,0.131693862,0.164251809,0.164557364,21,100
Market-Adjusted Model,15142,2022-05-12,-0.020623981,0.0150170225,0.0122395212,21,100
Market-Adjusted Model,15144,2022-05-12,-0.078358222,-0.051451646,-0.04549472,21,100
Market-Adjusted Model,15145,2022-05-12,-0.089735129,-0.057200274,-0.056871627,21,100
Market-Adjusted Model,15156,2022-05-12,0.0261777025,0.0547469082,0.0590412045,21,100
Market-Adjusted Model,15161,2022-05-12,0.0092335865,0.0409874326,0.0420970886,21,100
Market-Adjusted Model,15162,2022-05-12,-0.006457333,0.024710698,0.0264061695,21,100
Market-Adjusted Model,15163,2022-05-12,-0.008945507,0.0209581753,0.0239179946,21,100
Market-Adjusted Model,15167,2022-05-12,-0.202800756,-0.171065544,-0.169937254,21,100
Market-Adjusted Model,15168,2022-05-12,0.1099188295,0.1459215259,0.1427823315,21,100
Market-Adjusted Model,15169,2022-05-12,0.0871795263,0.1291402592,0.1200430283,21,100
Market-Adjusted Model,15170,2022-05-12,-0.016767464,0.0231366307,0.0160960384,21,100
Market-Adjusted Model,15171,2022-05-12,-0.140975965,-0.10264958,-0.108112463,21,100
Market-Adjusted Model,15172,2022-05-12,-0.21115536,-0.136406457,-0.178291858,21,100
Market-Adjusted Model,15177,2022-05-12,-0.141428558,0.0178346123,-0.108565056,21,100
Market-Adjusted Model,15178,2022-05-12,-0.148910919,-0.122555847,-0.116047416,21,100
Market-Adjusted Model,15184,2022-05-12,-0.113300512,-0.057539259,-0.08043701,21,100
Market-Adjusted Model,15186,2022-05-12,0.06779663,0.1520115963,0.100660132,21,100
Market-Adjusted Model,15187,2022-05-12,9.583445E-13,0.0717863244,0.0328635021,21,100
Market-Adjusted Model,15194,2022-05-12,0.0346413985,0.0670268711,0.0675049005,21,100
Market-Adjusted Model,15195,2022-05-12,-0.086412027,-0.057549439,-0.053548525,21,100
Market-Adjusted Model,15196,2022-05-12,0.1528706658,0.1813799742,0.1857341678,21,100
Market-Adjusted Model,15198,2022-05-12,-0.302788848,-0.262523335,-0.269925346,21,100
